Country,Region,Year,Disease,New_Cases,Deaths,Prevalence_Rate,Incidence_Rate,Population
South Africa,African,2000,Hepatitis B,64705,3415,4.57,143.79,45000000
South Africa,African,2000,Syphilis,62703,1434,1.01,139.34,45000000
South Africa,African,2000,HPV,97425,812,6.87,216.5,45000000
South Africa,African,2001,HIV/AIDS,114237,27713,2.67,251.1,45494999
South Africa,African,2001,Hepatitis B,72209,4284,4.52,158.72,45494999
South Africa,African,2001,Syphilis,57674,1072,0.97,126.77,45494999
South Africa,African,2001,HPV,84825,661,6.55,186.45,45494999
South Africa,African,2002,HIV/AIDS,101279,23332,2.78,220.22,45990000
South Africa,African,2002,Hepatitis B,69541,4404,4.2,151.21,45990000
South Africa,African,2002,Syphilis,57321,1289,1.02,124.64,45990000
South Africa,African,2002,HPV,92288,746,6.39,200.67,45990000
South Africa,African,2003,HIV/AIDS,115515,30255,2.91,248.5,46485000
South Africa,African,2003,Hepatitis B,73032,4103,4.37,157.11,46485000
South Africa,African,2003,Syphilis,63912,1352,0.9,137.49,46485000
South Africa,African,2003,HPV,100626,832,6.19,216.47,46485000
South Africa,African,2004,HIV/AIDS,97709,20527,2.94,207.98,46980000
South Africa,African,2004,Hepatitis B,79673,5438,4.03,169.59,46980000
South Africa,African,2004,Syphilis,65673,1424,0.96,139.79,46980000
South Africa,African,2004,HPV,99940,740,7.04,212.73,46980000
South Africa,African,2005,HIV/AIDS,109021,27076,2.65,229.64,47475000
South Africa,African,2005,Hepatitis B,67775,4154,4.32,142.76,47475000
South Africa,African,2005,Syphilis,62007,1338,0.95,130.61,47475000
South Africa,African,2005,HPV,100670,829,6.57,212.05,47475000
South Africa,African,2006,HIV/AIDS,116677,24785,2.66,243.23,47970000
South Africa,African,2006,Hepatitis B,66649,3901,4.39,138.94,47970000
South Africa,African,2006,Syphilis,67086,1274,0.97,139.85,47970000
South Africa,African,2006,HPV,103356,769,6.85,215.46,47970000
South Africa,African,2007,HIV/AIDS,103220,22228,2.75,212.98,48465000
South Africa,African,2007,Hepatitis B,67807,3992,4.58,139.91,48465000
South Africa,African,2007,Syphilis,62515,1270,0.98,128.99,48465000
South Africa,African,2007,HPV,104781,833,6.87,216.2,48465000
South Africa,African,2008,HIV/AIDS,103188,26382,3.06,210.76,48960000
South Africa,African,2008,Hepatitis B,80881,5363,4.02,165.2,48960000
South Africa,African,2008,Syphilis,66933,1374,0.89,136.71,48960000
South Africa,African,2008,HPV,100172,790,6.06,204.6,48960000
South Africa,African,2009,HIV/AIDS,113187,26827,2.74,228.87,49455000
South Africa,African,2009,Hepatitis B,72911,4923,4.14,147.43,49455000
South Africa,African,2009,Syphilis,69874,1605,0.89,141.29,49455000
South Africa,African,2009,HPV,104844,923,6.35,212.0,49455000
South Africa,African,2010,HIV/AIDS,96288,24257,3.06,192.77,49949999
South Africa,African,2010,Hepatitis B,76443,5132,4.0,153.04,49949999
South Africa,African,2010,Syphilis,59855,1068,0.91,119.83,49949999
South Africa,African,2010,HPV,103281,928,6.26,206.77,49949999
South Africa,African,2011,HIV/AIDS,108481,22172,2.63,215.05,50445000
South Africa,African,2011,Hepatitis B,66945,4379,4.35,132.71,50445000
South Africa,African,2011,Syphilis,63706,1104,1.0,126.29,50445000
South Africa,African,2011,HPV,104385,903,7.03,206.93,50445000
South Africa,African,2012,HIV/AIDS,108981,22547,2.99,213.94,50940000
South Africa,African,2012,Hepatitis B,69522,4176,4.02,136.48,50940000
South Africa,African,2012,Syphilis,72069,1593,0.97,141.48,50940000
South Africa,African,2012,HPV,91111,661,6.82,178.86,50940000
South Africa,African,2013,HIV/AIDS,98816,27132,2.93,192.12,51435000
South Africa,African,2013,Hepatitis B,76308,4738,3.97,148.36,51435000
South Africa,African,2013,Syphilis,62370,1325,1.01,121.26,51435000
South Africa,African,2013,HPV,91996,666,6.15,178.86,51435000
South Africa,African,2014,HIV/AIDS,114344,29781,2.82,220.19,51929999
South Africa,African,2014,Hepatitis B,76856,4120,4.33,148.0,51929999
South Africa,African,2014,Syphilis,76960,1575,0.92,148.2,51929999
South Africa,African,2014,HPV,103911,941,6.73,200.1,51929999
South Africa,African,2015,HIV/AIDS,95109,22169,2.84,181.42,52425000
South Africa,African,2015,Hepatitis B,74343,3970,4.02,141.81,52425000
South Africa,African,2015,Syphilis,67586,1322,0.92,128.92,52425000
South Africa,African,2015,HPV,102522,798,6.72,195.56,52425000
South Africa,African,2016,HIV/AIDS,100415,24738,2.71,189.75,52920000
South Africa,African,2016,Hepatitis B,71897,4208,3.96,135.86,52920000
South Africa,African,2016,Syphilis,71489,1460,0.91,135.09,52920000
South Africa,African,2016,HPV,102061,852,6.79,192.86,52920000
South Africa,African,2017,HIV/AIDS,105254,27439,2.75,197.05,53415000
South Africa,African,2017,Hepatitis B,75785,4718,4.23,141.88,53415000
South Africa,African,2017,Syphilis,70566,1511,0.95,132.11,53415000
South Africa,African,2017,HPV,109639,878,7.02,205.26,53415000
South Africa,African,2018,HIV/AIDS,101711,23051,2.97,188.67,53910000
South Africa,African,2018,Hepatitis B,80595,4278,4.27,149.5,53910000
South Africa,African,2018,Syphilis,66794,1157,1.0,123.9,53910000
South Africa,African,2018,HPV,96768,698,6.4,179.5,53910000
South Africa,African,2019,HIV/AIDS,96552,19798,2.95,177.47,54405000
South Africa,African,2019,Hepatitis B,80519,4646,4.52,148.0,54405000
South Africa,African,2019,Syphilis,68925,1221,0.96,126.69,54405000
South Africa,African,2019,HPV,99109,910,7.06,182.17,54405000
South Africa,African,2020,HIV/AIDS,105891,26844,2.75,192.88,54900000
South Africa,African,2020,Hepatitis B,78600,4915,4.2,143.17,54900000
South Africa,African,2020,Syphilis,67400,1358,0.9,122.77,54900000
South Africa,African,2020,HPV,95086,837,6.22,173.2,54900000
South Africa,African,2021,HIV/AIDS,109853,29046,2.86,198.31,55394999
South Africa,African,2021,Hepatitis B,83336,4922,4.03,150.44,55394999
South Africa,African,2021,Syphilis,74550,1605,0.88,134.58,55394999
South Africa,African,2021,HPV,101588,727,6.54,183.39,55394999
South Africa,African,2022,HIV/AIDS,91709,19003,3.02,164.09,55890000
South Africa,African,2022,Hepatitis B,70957,4244,4.14,126.96,55890000
South Africa,African,2022,Syphilis,78687,1377,0.95,140.79,55890000
South Africa,African,2022,HPV,97757,814,6.94,174.91,55890000
South Africa,African,2023,HIV/AIDS,100985,26147,2.91,179.1,56385000
South Africa,African,2023,Hepatitis B,68124,4135,4.19,120.82,56385000
South Africa,African,2023,Syphilis,75386,1499,1.0,133.7,56385000
South Africa,African,2023,HPV,110086,881,6.95,195.24,56385000
Kenya,African,2000,HIV/AIDS,83864,22242,2.98,270.53,31000000
Kenya,African,2000,Hepatitis B,49429,2993,4.43,159.45,31000000
Kenya,African,2000,Syphilis,38074,856,0.97,122.82,31000000
Kenya,African,2000,HPV,67139,511,6.46,216.58,31000000
Kenya,African,2001,HIV/AIDS,71742,19426,2.72,228.91,31340999
Kenya,African,2001,Hepatitis B,50828,3139,4.3,162.18,31340999
Kenya,African,2001,Syphilis,37709,800,0.95,120.32,31340999
Kenya,African,2001,HPV,67649,560,7.34,215.85,31340999
Kenya,African,2002,HIV/AIDS,76426,20561,3.06,241.23,31682000
Kenya,African,2002,Hepatitis B,54081,3519,4.76,170.7,31682000
Kenya,African,2002,Syphilis,46252,989,0.92,145.99,31682000
Kenya,African,2002,HPV,65318,546,6.87,206.17,31682000
Kenya,African,2003,HIV/AIDS,84521,18996,3.17,263.94,32022999
Kenya,African,2003,Hepatitis B,54423,3115,4.61,169.95,32022999
Kenya,African,2003,Syphilis,39865,863,0.91,124.49,32022999
Kenya,African,2003,HPV,66476,526,7.35,207.59,32022999
Kenya,African,2004,HIV/AIDS,84492,22064,2.9,261.07,32364000
Kenya,African,2004,Hepatitis B,47264,3092,4.47,146.04,32364000
Kenya,African,2004,Syphilis,48086,828,1.03,148.58,32364000
Kenya,African,2004,HPV,65200,460,6.32,201.46,32364000
Kenya,African,2005,HIV/AIDS,79273,20587,3.04,242.39,32704999
Kenya,African,2005,Hepatitis B,56282,3681,4.61,172.09,32704999
Kenya,African,2005,Syphilis,40227,833,0.94,123.0,32704999
Kenya,African,2005,HPV,72758,584,6.28,222.47,32704999
Kenya,African,2006,HIV/AIDS,79108,18424,2.72,239.39,33046000
Kenya,African,2006,Hepatitis B,56799,3139,4.56,171.88,33046000
Kenya,African,2006,Syphilis,48683,1076,0.96,147.32,33046000
Kenya,African,2006,HPV,64941,503,6.91,196.52,33046000
Kenya,African,2007,HIV/AIDS,72232,15710,3.12,216.35,33387000
Kenya,African,2007,Hepatitis B,47703,3049,4.32,142.88,33387000
Kenya,African,2007,Syphilis,48878,917,1.06,146.4,33387000
Kenya,African,2007,HPV,66967,547,6.42,200.58,33387000
Kenya,African,2008,HIV/AIDS,83938,20720,3.03,248.87,33728000
Kenya,African,2008,Hepatitis B,51360,3078,4.73,152.28,33728000
Kenya,African,2008,Syphilis,42716,743,0.96,126.65,33728000
Kenya,African,2008,HPV,64288,507,6.29,190.61,33728000
Kenya,African,2009,HIV/AIDS,77690,18200,2.87,228.04,34069000
Kenya,African,2009,Hepatitis B,58005,3522,4.61,170.26,34069000
Kenya,African,2009,Syphilis,44814,825,1.04,131.54,34069000
Kenya,African,2009,HPV,66529,536,7.26,195.28,34069000
Kenya,African,2010,HIV/AIDS,79180,19877,2.98,230.11,34409999
Kenya,African,2010,Hepatitis B,50551,2871,4.25,146.91,34409999
Kenya,African,2010,Syphilis,44055,823,1.04,128.03,34409999
Kenya,African,2010,HPV,70492,611,7.13,204.86,34409999
Kenya,African,2011,HIV/AIDS,73915,20372,2.93,212.7,34751000
Kenya,African,2011,Hepatitis B,54996,3698,4.66,158.26,34751000
Kenya,African,2011,Syphilis,51264,1044,0.93,147.52,34751000
Kenya,African,2011,HPV,63893,580,6.98,183.86,34751000
Kenya,African,2012,HIV/AIDS,74816,15455,2.91,213.2,35092000
Kenya,African,2012,Hepatitis B,58414,3022,4.15,166.46,35092000
Kenya,African,2012,Syphilis,46152,910,0.91,131.52,35092000
Kenya,African,2012,HPV,70594,488,6.61,201.17,35092000
Kenya,African,2013,HIV/AIDS,67992,14166,2.89,191.89,35433000
Kenya,African,2013,Hepatitis B,55498,3132,4.23,156.63,35433000
Kenya,African,2013,Syphilis,48334,822,0.97,136.41,35433000
Kenya,African,2013,HPV,64757,440,7.21,182.76,35433000
Kenya,African,2014,HIV/AIDS,74059,16884,2.94,207.02,35774000
Kenya,African,2014,Hepatitis B,52505,3472,4.63,146.77,35774000
Kenya,African,2014,Syphilis,47479,876,0.95,132.72,35774000
Kenya,African,2014,HPV,70800,520,7.02,197.91,35774000
Kenya,African,2015,HIV/AIDS,70843,14699,3.14,196.16,36115000
Kenya,African,2015,Hepatitis B,52937,2843,4.59,146.58,36115000
Kenya,African,2015,Syphilis,45717,1029,0.93,126.59,36115000
Kenya,African,2015,HPV,63847,438,6.48,176.79,36115000
Kenya,African,2016,HIV/AIDS,66958,14824,3.0,183.67,36456000
Kenya,African,2016,Hepatitis B,54279,3598,4.5,148.89,36456000
Kenya,African,2016,Syphilis,45803,948,1.04,125.64,36456000
Kenya,African,2016,HPV,66575,589,7.11,182.62,36456000
Kenya,African,2017,HIV/AIDS,68854,16299,3.14,187.12,36797000
Kenya,African,2017,Hepatitis B,54757,3148,4.78,148.81,36797000
Kenya,African,2017,Syphilis,55515,1209,0.95,150.87,36797000
Kenya,African,2017,HPV,73803,575,6.51,200.57,36797000
Kenya,African,2018,HIV/AIDS,69444,14315,2.74,186.99,37138000
Kenya,African,2018,Hepatitis B,51822,2797,4.09,139.54,37138000
Kenya,African,2018,Syphilis,55183,1182,1.01,148.59,37138000
Kenya,African,2018,HPV,69682,573,7.24,187.63,37138000
Kenya,African,2019,HIV/AIDS,66011,16760,2.77,176.13,37479000
Kenya,African,2019,Hepatitis B,49850,3432,4.44,133.01,37479000
Kenya,African,2019,Syphilis,47485,1090,0.91,126.7,37479000
Kenya,African,2019,HPV,74268,664,6.41,198.16,37479000
Kenya,African,2020,HIV/AIDS,77307,19231,2.96,204.41,37820000
Kenya,African,2020,Hepatitis B,51072,3151,4.12,135.04,37820000
Kenya,African,2020,Syphilis,51465,1133,1.01,136.08,37820000
Kenya,African,2020,HPV,65579,482,6.92,173.4,37820000
Kenya,African,2021,HIV/AIDS,76673,19013,2.82,200.92,38160999
Kenya,African,2021,Hepatitis B,54394,3437,4.36,142.54,38160999
Kenya,African,2021,Syphilis,57195,1232,0.99,149.88,38160999
Kenya,African,2021,HPV,81359,653,6.73,213.2,38160999
Kenya,African,2022,HIV/AIDS,62908,15189,3.08,163.39,38502000
Kenya,African,2022,Hepatitis B,52724,3533,4.15,136.94,38502000
Kenya,African,2022,Syphilis,53895,964,1.01,139.98,38502000
Kenya,African,2022,HPV,81377,592,6.47,211.36,38502000
Kenya,African,2023,HIV/AIDS,75308,16513,3.13,193.88,38843000
Kenya,African,2023,Hepatitis B,53479,3572,4.6,137.68,38843000
Kenya,African,2023,Syphilis,54329,1165,0.98,139.87,38843000
Kenya,African,2023,HPV,78008,637,7.12,200.83,38843000
Ethiopia,African,2000,HIV/AIDS,155106,41308,3.24,235.01,66000000
Ethiopia,African,2000,Hepatitis B,120205,6572,4.3,182.13,66000000
Ethiopia,African,2000,Syphilis,96703,2212,0.94,146.52,66000000
Ethiopia,African,2000,HPV,140045,1250,7.3,212.19,66000000
Ethiopia,African,2001,HIV/AIDS,165640,41050,2.96,248.24,66725999
Ethiopia,African,2001,Hepatitis B,115315,7130,4.53,172.82,66725999
Ethiopia,African,2001,Syphilis,101950,1853,1.01,152.79,66725999
Ethiopia,African,2001,HPV,141018,1003,6.94,211.34,66725999
Ethiopia,African,2002,HIV/AIDS,156859,35833,3.13,232.55,67452000
Ethiopia,African,2002,Hepatitis B,125015,6598,4.4,185.34,67452000
Ethiopia,African,2002,Syphilis,99626,1859,1.08,147.7,67452000
Ethiopia,African,2002,HPV,136414,1098,6.7,202.24,67452000
Ethiopia,African,2003,HIV/AIDS,167847,34786,2.93,246.19,68178000
Ethiopia,African,2003,Hepatitis B,113693,7133,4.93,166.76,68178000
Ethiopia,African,2003,Syphilis,95619,1770,0.95,140.25,68178000
Ethiopia,African,2003,HPV,140296,1249,7.36,205.78,68178000
Ethiopia,African,2004,HIV/AIDS,183443,50397,3.28,266.23,68904000
Ethiopia,African,2004,Hepatitis B,125846,6730,4.28,182.64,68904000
Ethiopia,African,2004,Syphilis,92889,1633,1.03,134.81,68904000
Ethiopia,African,2004,HPV,158954,1287,7.19,230.69,68904000
Ethiopia,African,2005,HIV/AIDS,156040,33633,2.92,224.1,69630000
Ethiopia,African,2005,Hepatitis B,123725,7947,4.65,177.69,69630000
Ethiopia,African,2005,Syphilis,93965,1825,1.0,134.95,69630000
Ethiopia,African,2005,HPV,157196,1146,7.36,225.76,69630000
Ethiopia,African,2006,HIV/AIDS,184044,49419,2.86,261.59,70356000
Ethiopia,African,2006,Hepatitis B,105238,6970,4.42,149.58,70356000
Ethiopia,African,2006,Syphilis,92694,1825,1.0,131.75,70356000
Ethiopia,African,2006,HPV,141401,1250,7.29,200.98,70356000
Ethiopia,African,2007,HIV/AIDS,181095,43865,2.97,254.77,71082000
Ethiopia,African,2007,Hepatitis B,109274,5890,4.4,153.73,71082000
Ethiopia,African,2007,Syphilis,110660,2397,1.08,155.68,71082000
Ethiopia,African,2007,HPV,151212,1220,7.05,212.73,71082000
Ethiopia,African,2008,HIV/AIDS,168260,35921,3.01,234.32,71808000
Ethiopia,African,2008,Hepatitis B,106476,6354,4.92,148.28,71808000
Ethiopia,African,2008,Syphilis,112408,2284,0.96,156.54,71808000
Ethiopia,African,2008,HPV,141899,975,6.78,197.61,71808000
Ethiopia,African,2009,HIV/AIDS,152568,34655,3.25,210.34,72534000
Ethiopia,African,2009,Hepatitis B,118970,6925,4.57,164.02,72534000
Ethiopia,African,2009,Syphilis,104369,2393,0.97,143.89,72534000
Ethiopia,African,2009,HPV,163020,1291,7.33,224.75,72534000
Ethiopia,African,2010,HIV/AIDS,153252,35030,3.25,209.19,73259999
Ethiopia,African,2010,Hepatitis B,105106,6863,4.48,143.47,73259999
Ethiopia,African,2010,Syphilis,107794,2345,1.06,147.14,73259999
Ethiopia,African,2010,HPV,143714,1128,7.54,196.17,73259999
Ethiopia,African,2011,HIV/AIDS,170145,46878,2.8,229.97,73986000
Ethiopia,African,2011,Hepatitis B,111215,6589,4.27,150.32,73986000
Ethiopia,African,2011,Syphilis,97750,2032,0.96,132.12,73986000
Ethiopia,African,2011,HPV,150613,1139,7.53,203.57,73986000
Ethiopia,African,2012,HIV/AIDS,172562,43402,3.03,230.97,74712000
Ethiopia,African,2012,Hepatitis B,119584,8143,4.57,160.06,74712000
Ethiopia,African,2012,Syphilis,104006,2191,0.96,139.21,74712000
Ethiopia,African,2012,HPV,166757,1313,6.54,223.2,74712000
Ethiopia,African,2013,HIV/AIDS,177724,48946,3.17,235.59,75438000
Ethiopia,African,2013,Hepatitis B,118075,6664,4.71,156.52,75438000
Ethiopia,African,2013,Syphilis,119689,2565,1.0,158.66,75438000
Ethiopia,African,2013,HPV,152633,1301,7.13,202.33,75438000
Ethiopia,African,2014,HIV/AIDS,163272,38236,3.24,214.37,76164000
Ethiopia,African,2014,Hepatitis B,121253,7074,4.48,159.2,76164000
Ethiopia,African,2014,Syphilis,108983,1912,0.96,143.09,76164000
Ethiopia,African,2014,HPV,162473,1363,7.23,213.32,76164000
Ethiopia,African,2015,HIV/AIDS,145176,31683,2.96,188.81,76890000
Ethiopia,African,2015,Hepatitis B,124823,6920,4.86,162.34,76890000
Ethiopia,African,2015,Syphilis,115880,2161,0.96,150.71,76890000
Ethiopia,African,2015,HPV,145176,1222,6.81,188.81,76890000
Ethiopia,African,2016,HIV/AIDS,175683,42696,2.9,226.35,77616000
Ethiopia,African,2016,Hepatitis B,123044,7626,4.92,158.53,77616000
Ethiopia,African,2016,Syphilis,107141,2027,1.04,138.04,77616000
Ethiopia,African,2016,HPV,174814,1476,6.94,225.23,77616000
Ethiopia,African,2017,HIV/AIDS,143710,38371,3.0,183.44,78342000
Ethiopia,African,2017,Hepatitis B,120873,8200,4.55,154.29,78342000
Ethiopia,African,2017,Syphilis,123396,2500,0.99,157.51,78342000
Ethiopia,African,2017,HPV,158838,1207,7.21,202.75,78342000
Ethiopia,African,2018,HIV/AIDS,150529,40720,3.25,190.38,79068000
Ethiopia,African,2018,Hepatitis B,127022,8181,4.94,160.65,79068000
Ethiopia,African,2018,Syphilis,122642,2438,1.06,155.11,79068000
Ethiopia,African,2018,HPV,158460,1322,6.76,200.41,79068000
Ethiopia,African,2019,HIV/AIDS,151137,37208,2.93,189.41,79794000
Ethiopia,African,2019,Hepatitis B,115996,7619,4.39,145.37,79794000
Ethiopia,African,2019,Syphilis,126569,2157,0.96,158.62,79794000
Ethiopia,African,2019,HPV,155007,1366,7.39,194.26,79794000
Ethiopia,African,2020,HIV/AIDS,144968,30781,3.18,180.04,80520000
Ethiopia,African,2020,Hepatitis B,115594,6296,4.96,143.56,80520000
Ethiopia,African,2020,Syphilis,109805,2274,1.0,136.37,80520000
Ethiopia,African,2020,HPV,176741,1231,7.6,219.5,80520000
Ethiopia,African,2021,HIV/AIDS,143959,32172,3.19,177.19,81245999
Ethiopia,African,2021,Hepatitis B,128458,6809,4.71,158.11,81245999
Ethiopia,African,2021,Syphilis,128872,2518,0.96,158.62,81245999
Ethiopia,African,2021,HPV,164100,1386,7.06,201.98,81245999
Ethiopia,African,2022,HIV/AIDS,160304,44237,3.28,195.56,81972000
Ethiopia,African,2022,Hepatitis B,119023,7629,4.29,145.2,81972000
Ethiopia,African,2022,Syphilis,134204,2652,0.99,163.72,81972000
Ethiopia,African,2022,HPV,160320,1348,6.55,195.58,81972000
Ethiopia,African,2023,HIV/AIDS,149046,39335,3.18,180.23,82698000
Ethiopia,African,2023,Hepatitis B,126966,7210,4.53,153.53,82698000
Ethiopia,African,2023,Syphilis,129670,2586,1.07,156.8,82698000
Ethiopia,African,2023,HPV,177726,1583,6.66,214.91,82698000
Egypt,African,2000,HIV/AIDS,164927,39984,2.97,242.54,68000000
Egypt,African,2000,Hepatitis B,108935,5556,4.41,160.2,68000000
Egypt,African,2000,Syphilis,96485,1660,1.1,141.89,68000000
Egypt,African,2000,HPV,158406,1141,7.68,232.95,68000000
Egypt,African,2001,HIV/AIDS,166741,43897,3.33,242.54,68748000
Egypt,African,2001,Hepatitis B,121759,6412,4.99,177.11,68748000
Egypt,African,2001,Syphilis,96934,1797,1.09,141.0,68748000
Egypt,African,2001,HPV,162870,1400,7.3,236.91,68748000
Egypt,African,2002,HIV/AIDS,178993,39339,3.08,257.56,69496000
